[00:00:09] [INFO] received Windows console close event; shutting log-core down
[16:01:07] [INFO] received Windows console close event; shutting log-core down
[16:14:02] [INFO] received Windows console close event; shutting log-core down
[14:07:14] [INFO] received Windows console close event; shutting log-core down
[15:11:46] [INFO] received Windows console close event; shutting log-core down
[15:33:42] [INFO] received Windows console close event; shutting log-core down
[15:33:43] [INFO] received Windows console close event; shutting log-core down
[17:36:39] [INFO] received Windows console close event; shutting log-core down
[17:53:11] [INFO] received Windows console close event; shutting log-core down
[17:57:53] [INFO] received Windows console close event; shutting log-core down
[18:04:24] [INFO] received Windows console close event; shutting log-core down
[18:07:25] [INFO] received Windows console close event; shutting log-core down
[18:07:56] [INFO] received Windows console close event; shutting log-core down
[18:11:54] [INFO] received Windows console close event; shutting log-core down
[18:17:15] [INFO] received Windows console close event; shutting log-core down
[18:22:26] [INFO] received Windows console close event; shutting log-core down
[18:27:58] [INFO] received Windows console close event; shutting log-core down
[18:31:51] [INFO] received Windows console close event; shutting log-core down
[14:20:03] [INFO] received Windows console close event; shutting log-core down
